id,Kichwa,Español
85,amapuna, traer 
86,amaru, serpiente 
87,amawta, científico 
88,amawta yachay, contenido científico 
89,amawtay, ciencia 
90,amañana, adaptar 
91,amañana yacharina, adaptar 
92,amañarina, adaptarse 
93,amañariy, adaptación 
94,amita, sopa 
95,ampana, bostezar 
96,amsa, opaco 
97,amsayana, ocultar el sol 
98,amukay, suavidad 
99,amulliy, poner algo en la boca 
100,ana, lunar 
101,anaku, falda 
102,anchachilasa ñawpa kawsakkuna, antepasados 
103,anchakuyay, pasión de vehemencia amorosa 
104,anchallpa, globo terráqueo 
105,anchallpakamay, geopolítica 
106,anchayupay, importancia 
107,anchuchina, quitar sustraer 
108,anchuchiy, quitar 
109,anchuna, irse de casa moverse de sitio 
110,anchuriy, retirarse 
111,anchuy, retirada 
112,anka, gallinazo 
113,ankana, volar 
114,ankas, azul 
115,ankas tapa wara, blue jean 
116,ankay, ceremonial 
117,ankichik, radio emisor 
118,ankiyachik, radio receptor 
119,anku, vena arteria 
120,ankuyana, marchitarse envecer 
121,anta, metal 
122,antaki, plomo 
123,antakullki, monedas 
124,antanikik, computadora 
125,antanikik chaski, correo electrónico 
126,antapachachik, reloj mecánico 
127,antawa, coche carro 
128,antayari, radio 
129,antayay, metalúrgico 
130,antisuyu, región amazónica 
131,apana, llevar 
132,apanakuy, llevarse  relacionarse 
133,apankara, cáncerenfermedad 
134,apankura, cáncer signo 
135,aparikanta, medios de transporte 
136,aparina, cargar 
137,apariykancha, medios de transporte 
138,apay, guiar conducir 
139,api, colada mazamorra 
140,apuk, ancestros 
141,apuk, líderautoridad 
142,apukkuna, autoridades 
143,apukkuna tantaripacha, período de integración 
144,apukkuna tantatripacha, período de integración 
145,apuktukushka, emperador 
146,apunchik, dios 
147,apunchikamay, religión 
148,apunchikwasi, iglesia 
149,apuskachak, soberbio 
150,apyayala, continente americano 
151,apyayalapi chawchuri rikurimanta, racismo en américa 
152,apyu, caballo 
153,arawik, poeta 
154,arena, thiyu / illul 
155,arina, estrenar 
156,arinichina, convencer 
157,arinina, acceder consentir 
158,arininakuy, acuerdo tratado 
159,arininakuy, acuerdos tratados 
160,arma, ayñi 
161,armana, bañar 
162,ashanka, canasto 
163,ashankayrumpa, básquet 
164,ashnana, oler 
165,ashtarina, mobilizarse transportarse moverse 
166,asichik, hazmereír 
167,asichisiki, chistoso 
168,asina, reír 
169,asinayay, chistoso que causa risa 
170,asipayak, burlón 
171,aspi, guión 
172,aspina, rascar subrayar 
173,atallpa, gallina 
174,atam, parásito 
175,ataw, jóvez 
176,atawchay, fortuna 
177,atawchayuk, afortunado 
178,atina, vencer 
179,atipay, conquista 
180,atiy, poder 
181,atsiyana, estornudar 
182,atuk, lobo 
183,atukamay, industria 
184,atukay, industria 
185,atukayashka pukuy, producción industrial 
186,atyak, babosa 
187,awaki, lunes 
188,awaki puncha, lunes 
189,awana, tejer 
190,awayllamkay, obraje 
191,awika, variedad 
192,awka, militar soldado 
193,awkakancha, ejército 
194,awkarik puncha, martes 
195,awkaruna, pagano 
196,awkawasi, cuartel 
197,awki, principe noble 
198,aya uma, personaje mitologico que lidera el inti raymi materializacion de las energias de la pacha mama 
199,aycha, carne 
200,aycha / ukku, carne cuerpo 
201,ayllu, familia 
202,ayllu chariy, poseer familia 
203,ayllu shuti, apellidos antroponimio 
204,ayllullanikipushak, monarquía 
205,ayllumallki, arbol genealógico 
206,ayllunikiyashka, grados de afinidad 
207,aymuray, mayo 
208,aymuray killa, mayo 
209,aynikuy, participación  
210,aynina, convivir 
211,ayninakuy, participativa 
212,ayriwa, abril 
213,ayriwa killa, abril 
214,aysana, halar cosechar 
215,aysana, arrastrar 
216,ayñi, arma 
217,añaki, bacteria 
218,añanku, hormiga 
219,añas, zorro 
220,añaw, virus 
221,chachina, masticar 
222,chakana, cruzar 
223,chakariy mushukyay, cruzamiento 
224,chakata tullu, clavícula 
225,chakcha, alabanza 
226,chaki, pie 
227,chaki ruka, dedo del pie 
228,chaki sillu, uña del dedo del pie 
229,chaki uku, planta del pie 
230,chaki washa, talon 
231,chakichina, secar 
232,chakina, secar 
233,chakishka, seco 
234,chakishkapacha, sequía 
235,chakllamanyachi, paralelogramo 
236,chaklli, quìmico 
237,chakllisinchi, química 
238,chakra, sementera 
239,chakrakamay, agricultura agrícola 
240,chakrakamay allpa llankay, agricultura 
241,chakrana, cultivar 
242,chakrawiwakamay, agropecuaria 
243,chakru, mixto o combinado 
244,chakruy, composición 
245,challay, rito 
246,challay wilkay hawkay, rito 
247,challwa, pez 
248,challwa kapina, pescar 
249,challwakamay, pesca pesquera ictiología 
250,chani, valor 
251,chani – kuska, lugar turístico 
252,chanichina, valorar 
253,chanikuna, datos 
254,chanina, valorar 
255,chaniyay, valencia 
256,chaniyuk, caro de valor en dinero 
257,chanka, pierna 
258,chantasu, llama 
259,chapak, policía 
260,chapak kamaypaktachi, intendencia de policía 
261,chapak kamaypaktachi puhak, comando provincia de policía 
262,chapak kamaypaktachi puhask, comando provincia de policía 
263,chapana, vigilar 
264,chapuna, mezclar 
265,chapuri, composición  
266,chapuriy, combinación 
267,charik, rico 
268,charikyana, enriquecer ganar dinero acumularse 
269,charina, tener 
270,charinayay, tesoro 
271,charirashka rumpa, balón sostenido 
272,charirashka yasiy, balón sostenido 
273,charishkata killkakamachiy, registro de la propiedad 
274,chashnalla, solamente asi o de esa manera 
275,chaska puncha, viernes 
276,chaska rikuchik, telescopio 
277,chaskakancha, constelación 
278,chaskancha, constelación 
279,chaski shuyulli, sello postal / timbre postal 
280,chaskichik, recibo 
281,chaskik, relevo 
282,chaskilli, buzón de correo / casillero de correo 
283,chaskina, recibir 
284,chaskinancha, codominio 
285,chawa, crudo 
286,chawar, cabuya penco 
287,chawcha, delicado fecundo rápido de madurar 
288,chawchuy, origen 
289,chawpi, mediomitad 
290,chawpi kawsaypacha makanakuy, guerra medieval 
291,chawpi pukcha, medio quintal 
292,chawpi puncha, medio día 
293,chawpi tuta, media noche 
294,chawpi wata, medio año 
295,chawpi yachay, segundo nivel de educación media 
296,chawpihanika, media fanega 120 lb 
297,chawpikakuna, medios 
298,chawpikuska, semirrecta 
299,chawpikutirik, media geométrica 
300,chawpina / rakina, partir 
301,chawpipampa, semiplano 
302,chawpisuyu, región central 
303,chawpiyak, media aritmética 
304,chawpiyak chanikuna, medidas de tendencia central 
305,chawpiyamuk, mediana 
306,chawra, combustible 
307,chayana, llegar 
308,chayllatak, sinónimo 
309,chayman, directo 
310,chayniyak, distancia 
311,chaypikana, asistir 
312,chayra, aun 
313,chayrak, todavia 
314,chayrak ama, todavia no 
315,chayshinaya, copia 
316,chayshuk, otro otra siguiente 
317,chayshuk kawsay, otra vida 
318,chaysinaya, copia 
319,chaytalla, solamente 
320,chaytu, fantasma 
321,chichuna, fecundar 
322,chika, tamaño/ verdad 
323,chikan, diferente/ raro/ estraño 
324,chikanchik iñu, punto aparte 
325,chikanchik iñuw, punto aparte 
326,chikanrakikyuk pakiyupaykuna, fracciones heterogéneas 
327,chikanyana, diferenciar 
328,chikanyay, diferente o distinto 
329,chikchichak, coqueto/a 
330,chikchichay, coquetear coqueteo 
331,chiknina, odiar 
332,chikta shara, partido resquebrajado 
333,chiktana, partir rajar la madera 
334,chilina, naranja 
335,chillay, miércoles 
336,chillay puncha, miércoles 
337,chillka, chilca 
338,chimay, descubrir una adivinanza 
339,chimiyana, surgir emerger germinar 
340,chimlasay, bióxido de carbono 
341,chimpamanyaypurachi, seno 
342,chimpamanyaypurachimuy, cosecante 
343,chimpamanyaypuramunchi, cosecante 
344,chimpamanyaypuranchi, seno 
345,chimpana, cruzar 
346,chimpanakuy, antónimo 
347,chimpapurachi, relación 
348,chimpapuranakuna, debatir 
349,chimpapuranakuy, debate 
350,chimpapuraychiy, comparación o relacionamiento 
351,chimpaykuchukuna, ángulo opuesto por el vértice  
352,chinaku, homosexual gay 
353,chinawakra, hembra femenino para animales 
354,chinchaysuyu, norte 
355,chiniku, minuto 
356,chinilla, segundo 
357,chinkana, perderse desaparecer 
358,chinkay, perder 
359,chinlli, desayuno 
360,chiri, frío 
361,chirikunuy, clima 
362,chirimuya, chirimoya 
363,chirina, hacer frio 
364,chiriwrku, paramo 
365,chishi, tarde 
366,chita, chivo cabra 
367,chiwila, piña 
368,chucha, rapoza 
369,chuchi, pollo 
370,chuchu, seno 
371,chuhama churipakchuri, nieto 
372,chukchina, recoger la sobra 
373,chukchu unkuy, paludismo 
374,chukchuk, tembloroso 
375,chukchuna, temblar 
376,chuki, mineral 
377,chukikamay, minera minería 
378,chukillankay, mitas 
379,chukllu, choclo 
380,chukri, herida 
381,chukrichiy, herir 
382,chukrina, lastimarse 
383,chukrishka, herido/a 
384,chukriy, herir 
385,chukriyku, ulcera 
386,chuku, casco celada 
387,chukuri, comadreja 
388,chullachishka kutinkutinchikyuk puchu, diferencia de exponentes impares 
389,chullachishka yupay, número impar 
390,chullashka kimsamanyachi, triángulo escaleno 
391,chullayashka yupay, número impar 
392,chullpi, chulpi 
393,chumpi, faja 
394,chumpiku, cinta 
395,chunka, diez 10 
396,chunka shuk, once 11 
397,chunkachik hillay, material decimal 
398,chunkachishka yupaychikakunata, representación polinómica del 
399,chunkakri, décimo 
400,chunkalli, decimal 
401,chunkana, juego de azar 
402,chunkayllichik, sistema decimal 
403,chuntapalashka, embrujado 
404,chupu, tumor 
405,churana, ropa ponerse la ropa llevar puesto 
406,churanakuna, vestimenta 
407,churi, hijo 
408,churu, caracol 
409,chushak, vacío 
410,chushik, lechuza 
411,chusku, cuatro 4 
412,chusku chunka, cuarenta 40 
413,chusku patsak, cuatrocientos 400 
414,chuskuchishka pampa, plano bidimensional cartesiano 
415,chuskumanyachi, cuadrilátero 
416,chuspi, mosca 
417,chutana, halar 
418,chutarik, elasticidad 
419,chutarina, estirarse ponerse en el suelo 
420,chuya, aguado 
421,chuyaklla yaku, agua potable 
422,chuyakllachina, potabilizar 
423,chuyakllachiy, potabilización 
424,chuyayana, asear 
425,chuyayay, desinfección 
426,chuyayaygt, aseo 
427,hachun, nuera cuñada 
428,hallmana, desyerbar 
429,hampatu, rana 
430,hampi, curación medicina 
431,hampik ikay, seguro medico 
432,hampikillkalli, receta medica 
433,hampina, curar 
434,hampiwasi, centro de salud hospital 
435,hamuktana, entender 
436,hamutana, comprender 
437,hamutay, comprensión/ comprender 
438,hanika, fanega 
439,hankana, desequilibrar 
440,hankay, desequilibrio 
441,hantsa, páncreas 
442,hapina, coger agarrar 
443,haplla, descomedido 
444,harkana, atrancar 
445,harkana kinchana, cercar 
446,harkarina, tolerancia 
447,harkariy, atascarse 
448,harkashka shimiki, sílabas trabadas 
449,hatarikuna, manifestaciones 
450,hatariy, levantamiento 
451,hatun, grande 
452,hatun apuktukushka, señoríos 
453,hatun hallmay, aporque 
454,hatun hatun runa, gigante 
455,hatun ishpa / isma, caca 
456,hatun kahas, macizo montaña grande 
457,hatun kaksas, macizo montaña grande 
458,hatun mama, abuela 
459,hatun paktay, objetivo general 
460,hatun rikuchik, indicador general 
461,hatun wankurikuna, organizaciones nacionales 
462,hatun yachay, tercer nivel de educación superior 
463,hatun yaya / hatun tayta, abuelo 
464,hatuna, vender 
465,hatuna pampa, mercado 
466,hatuna wasilli, kiosko chiringuito 
467,hatunkay, grandeza 
468,hatunkillka, mayúscula 
469,hatunkucha, mar 
470,hatunyachanawasi, universidad 
471,hawa, arriba 
472,hawachiy, alzar 
473,hawahawalla, superficialmente 
474,hawakara, epidermis 
475,hawakarak, epidermico relativo a la epidermis 
476,hawalla, superficial 
477,hawalla shimiki, sílaba simple 
478,hawallallpa, suelo 
479,hawapacha, espacio cielo 
480,hawaykawsay, civilización 
481,hawchashka, ensalada 
482,hayak, amargo hiel bilis 
483,hayak muyu, pimienta 
484,haytaypukllay, futbol 
485,hayñi, derecho 
486,hikama, jícama 
487,hillay, implemento 
488,hillaykuna, instrumentos 
489,hillaysapa, aparato 
490,hilli, sopa 
491,hita, pozo 
492,hondonada, pukru 
493,huchu kiru, muela 
494,huku ukuyayllika, secreccion endogeno 
495,hukukanllayay, secrecion exogeno 
496,hukurillawsallika, sistema excretor 
497,humpi, sudor 
498,humpina, sudar 
499,hunina, conjugar 
500,hunkay, semana 
501,hunkay / kanchisri, semana 
502,hunta, lleno 
503,hunu, millón 1000000 
504,hutkunantak, taladro 
505,huña, moco 
506,ichanik, duda 
507,ichanik yuyal, oración dubitativa 
508,ichanik yuyay, oración dubitativa 
509,illak, cero 0 
510,illana mana tiyana, no haber ausentar 
511,illapa, arma de fuego escopeta 
512,illay, faltar 
513,ima rikunchikuna, causa 
514,imachik, verbo 
515,imachik yuyayki, frase verbal 
516,imachikkuna, verbos 
517,imak, sujeto 
518,imakak, característica 
519,imakay, concepto 
520,imakay w, concepto 
521,imakay sapsikuna, características generales 
522,imakaychina, conceptualizar 
523,imakaychinamanta, conceptualización 
524,imallichik, adverbio 
525,imamantachiy, justificación 
526,imanik, predicado 
527,imapash, cualquier cosa 
528,imarayku, causas 
529,imaruran, consecuencias 
530,imaruray, función 
531,imashinakan, formas 
532,imatukuna, acontecer 
533,imatukuna w, acontecer 
534,imatukuy, acontecimiento suceder 
535,imayay, materia 
536,imaykuna, elementos 
537,imilla, adolescente hombre 
538,inchi, maní 
539,inti, sol intipuncha domingo 
540,inti llika, sistema solar 
541,inti puncha, domingo 
542,inti suyu, este 
543,intikinrayllipyay, solsticios 
544,intillayayllipyay, equinoccio 
545,intillika, sistema solar 
546,intiraymi, fiesta de sol 
547,intishayakllipyay, equinoccio 
548,intiwayllashka, fotosíntesis 
549,ishkantinpurachi, sobreyectiva 
550,ishkay, dos 2 
551,ishkay chunka, veinte 20 
552,ishkay patsak, docientos 200 
553,ishkaychishka kutinkutinchikyuk yapa, suma de potencias con exponente par 
554,ishkaychishka yupay, número par 
555,ishkaykillkanancha kutinchiy, factorización de binomios 
556,ishkaymanpurachi, biyectiva 
557,ishkayniki kallari yachay, segundo nivel 
558,ishkaynikichishka iñu, par ordenado 
559,ishkaynipa yuyal, oración bimembre 
560,ishkaynipa yuyay, oración bimembre 
561,ishkaypakta kimsamanyaychi, triángulo isósceles 
562,ishpa phuru, vejiga 
563,iskun, nueve 9 
564,iskun chunka, noventa 90 
565,iskun patsak, novecientos 900 
566,ismuwanu, compost 
567,isru, aro 
568,iwila, shampoo natural planta 
569,iñina, creer 
570,iñiy, creencia creer 
571,iñu uchilla suyukuna, puntos colaterales 
572,iñuku, átomo 
573,iñuwa, molécula 
574,kachachik, imperativo 
575,kachachik yuyay, oración imperativa 
576,kachamuna, mandar enviar 
577,kacharishka, libre 
578,kachi, sal 
579,kachipurawa, borraja 
580,kahaskancha, cordillera 
581,kahasmuku, nudos de cordillera 
582,kakatsu, lagaña 
583,kakchiy, definición 
584,kakrikuchina, describir 
585,kakrikuchina w, describir 
586,kaksaskancha, cordillera 
587,kaksaskuna, accidentes geográficos 
588,kaksasmuku, nudos de cordillera 
589,kaksasuyu pampa, area andina 
590,kaktarikuchik, físico estructura 
591,kakunamaki, desafío 
592,kakwillay, certificado 
593,kakwillay illu, certificado 
594,kalak, débil 
595,kalak, débil 
596,kallampa, hongo 
597,kallanpa, hongo 
598,kallari yachay, primer nivel de educación básica 
599,kallari yuyay, introducción 
600,kallarillaktayku, primeros pobladores 
601,kallarinancha, dominio 
602,kallariy, presentación inicio 
603,kallariy yachay, educación básica 
604,kallariyuyay, presentación 
605,kallpa, vigor 
606,kallpana, correr 
607,kallpanakuy, atletismo 
608,kallpay, correr 
609,kalluwatariy, trabalengua 
610,kamachashka, protegido 
611,kamachay, proteger 
612,kamachik, legislador consejero 
613,kamachik atiy, poder legislativo 
614,kamachik wasi, corte superior de justicia 
615,kamachikamay, administración 
616,kamachikkuna, leyes 
617,kamachina, consejo exhoracion 
618,kamachipuk, legislativo 
619,kamachipuk tay, poder legislativo 
620,kamachipuy, legislar 
621,kamachiy, aconsejar 
622,kamakay, higiene 
623,kamana, cuidar/ abundancia 
624,kamanayay, precaución 
625,kamari, regalo 
626,kamari challay, ofrenda 
627,kamay, cuidar/proteccion 
628,kamay paktachi atiy, poder judicial 
629,kamayku, evaluación 
630,kamaykuchiy, verificación 
631,kamaykuna, evaluar 
632,kamaykurina, auto evaluar  
633,kamaykurinaw, auto evaluar 
634,kamaykuriy, autoevaluación 
635,kamaykuy, evaluación 
636,kamaypakta, mandato 
637,kamayuk, cuidador facultades de autoridad 
638,kamayuk wasi, ministerio 
639,kamikuy, agravio 
640,kamu,  libro 
641,kamukuska, biblioteca 
642,kamuti, camote 
643,kamuyachik, imprenta 
644,kan, tú 
645,kana, ser / estar 
646,kancha, afuera 
647,kancha shuti, sustantivo colectivo 
648,kanchachani milka, cuadro estadístico 
649,kanchachani shuyu, gráfico estadístico 
650,kanchachanikamay, estadística 
651,kanchaman, hacia fuera 
652,kanchayashka, convexo 
653,kanchis, siete 7 
654,kanchis chunka, setenta 70 
655,kanchis patsak, setecientos 700 
656,kankuna / kikinkuna, ustedes / vosotros 
657,kanllayay, externo 
658,kapak, diciembre 
659,kapak apuk, gobierno 
660,kapak killa, diciembre 
661,kapak llakta, reino 
662,kapak saylla, meridiano 
663,kapak shuyu, mapa político 
664,kapakchi tantanakuy, organización política 
665,kapakchunkana, ajedréz 
666,kapakkamay, política 
667,kapakllakta, imperio 
668,kapakmarka, imperio reinado 
669,kapaktukukamay, politica 
670,kapasaylla, meridiano 
671,kapisayu, poncho alargado y entero kitukara 
672,kapisayu kitukara, poncho alargado y entero 
673,kapuk pukushka, producto 
674,kapulli, capulí 
675,kara, corteza piel cáscara 
676,karana, dar regalo 
677,karaskruyuwa, crustáceos 
678,kari, hombre 
679,kari atallpa, gallo 
680,karilla, gallardo 
681,karipurakuyay, homosexualidad 
682,kariwarmikanakamay, sexualidad 
683,karkanka sakru, esqueleto 
684,karkay, vertebrado 
685,karu, lejos 
686,karuwillay, telegrama 
687,karuyari, teléfono 
688,karuyarik wasilli, cabina telefonica 
689,karwa, llovizna 
690,karway killa, agosto 
691,kasha, espina 
692,kashakarayukwa, equidermos 
693,kasi, tranquilo quieto 
694,kasik, paz 
695,kasilla, tranquilidad 
696,kasku, pecho 
697,kasku tullu, esternón 
698,kaspana, chamuscar 
699,kaspi, palo madera 
700,kaspimakana, espada 
701,katana killpana, cubrir 
702,katariy, levantamiento 
703,kati paktachik, complemento indirecto 
704,katichay, prosa 
705,katichina, imitar 
706,katik iñu, punto seguido 
707,katik iñuw, punto seguido 
708,katik paktachik kp, complemento indirecto 
709,katikmanyaypurachi, coseno 
710,katikmanyaypuramuchi, secante 
711,katikmanyaypuramunchi, secante 
712,katikmanyaypuranchi, coseno 
713,katiknina, narrar 
714,katikunkuy purikunkuy, epidemia 
715,katina, seguir 
716,katinalla, modelo 
717,katinti yupaykuna, series numéricas 
718,katisuyu rikuchik iñu, puntos colaterales 
719,katsu, escarabajo 
720,katuranti, negocio 
721,katuy, vender 
722,katuyranti, feria 
723,katuyrantin chani, el valor del intercambio 
724,katuyrantin chani, el valor del intercambio 
725,kawalli, lente gafas 
726,kawana, cantar 
727,kaway, observación 
728,kawchuna, torcer 
729,kawi, rombo 
730,kawikuk, romboide 
731,kawilli, camilla 
732,kawitutiyarina, mueble 
733,kawpuna, torcer 
734,kawsa marka runa, nacionalidades 
735,kawsakkuna, seres 
736,kawsana, vivir 
737,kawsay, cultura vida 
738,kawsay killka, biografía 
739,kawsay killkamachiy, registro civil 
740,kawsay mallki, herencia genética 
741,kawsaykuk, célula 
742,kawsaykuktantalli, tejido 
743,kawsaymarka, nacionalidad 
744,kawsaypacha, medio ambiente 
745,kawsaypura, interculturalidad 
746,kawsayrikcha, novela 
747,kawsayrikcha w, novela 
748,kawsayshuktakayariy, aculturación 
749,kawsayta chikipi churashpa, poniéndose en peligro 
750,kawsayuk, célula 
751,kay, aquí 
752,kaya, mañana 
753,kayachina, convocar 
754,kayana, invitar/ llamar 
755,kayna, ayer 
756,kaytarikuchi, estados fìsicos 
757,kaytu, nervio 
758,khallu, lengua 
759,khari, masculino 
760,khiwa, hierva 
761,khura, maíz germinado 
762,khuyana, amar 
763,khuzu, larva de escarabajo 
764,kichankuy, cólera 
765,kichkikuchu, ángulo agudo 
766,kichkikuchu kimsamanyachi, triángulo acutángulo 
767,kichkikuchu kimsamanyaychi, triángulo acutángulo 
768,kichuy, arrebatar 
769,kichwa llika, alfabeto kichwa 
770,kikin, usted 
771,kikin shuti, nombre propio 
772,kikinkuyari, autoestima 
773,kikinllatak, consigo mismo 
774,kikinmanta, atentamente 
775,kikinmutsuri, autoconsumo 
776,kikinrimay, idiolecto 
777,kikinruray, costumbres 
778,kikinyari, identidad 
779,kikinyarina, identificar – apropiar 
780,kiliki, quilico 
781,kilkawana, redactar 
782,killa, luna 
783,killa, mes 
784,killanturi, eclipse lunar  
785,killanturiy, eclipse lunar 
786,killapa nikirakiri, fases de la luna 
787,killimsa rumi, carbón de piedra 
788,killka kamachik, regla ortográfica 
789,killka katina, leer 
790,killkakatiyuk, escritor 
791,killkana, escribir 
792,killkanancha, término algebraico 
793,killkananchakamay, álgebra 
794,killkananchapurachina, reducción de términos semejantes 
795,killkananchaychi, expresión algebraica 
796,killkapa unancha, signo de puntuación 
797,killkapa unancha w, signo de puntuación 
798,killkawana, redactar  
799,killkaya, carta 
800,killkayachay, tema  teoría 
801,killkayrimay, obra literaria 
802,killpa, capa 
803,killpak kushma, sweater saco 
804,killu, amarillo 
805,killu sara, maíz amarillo 
806,kimi killka, coeficiente o parte literal 
807,kimi yupay, coeficiente numérico 
808,kimina, acercar 
809,kiminancha, coeficiente 
810,kimirik, contigüos 
811,kimirik kuchukuna, ángulos contiguos o adiacentes 
812,kimirishka yuyay, oración subordinada 
813,kimiriy, acercarse 
814,kimpu / kashtuna, mandíbula quijada 
815,kimraymaya, hipotenusa 
816,kimsa, tres 3 
817,kimsa chunka, treinta 30 
818,kimsa kilkanancha kutinchiy, factorización de trinomios 
819,kimsa patsak, trecientos 300 
820,kimsachishka kullka, prisma triangular 
821,kimsachishkapa tawa, trinomio cuadrado perfecto 
822,kimsakamachik, regla de tres 
823,kimsakamachimuk, regla de tres inversa 
824,kimsakamachiyak, regla de tres simple 
825,kimsakilkanancha kutinchiy, factorización de trinomios 
826,kimsamanyachi, triángulo 
827,kimsamanyachikamay, trigonometría 
828,kimsamanyapurachi, relaciones trigonométricas 
829,kimsaniki kallariy yachay, tercer nivel de ed básica 
830,kimsaniki kallariyachay, tercer nivel 
831,kimsapaktamanyachi, triángulo equilátero 
832,kincha, corral 
833,kinchak, corchetes 
834,kinku, curva 
835,kinkuk, paréntesis 
836,kinraymanya, hipotenusa 
837,kinrayshuyu, función 
838,kinti, picaflor 
839,kinuwa, quinoa 
840,kipapakchiruray, proyecto 
841,kipapakchiruray yachay, proyecto de aula 
842,kipilli, paquete 
843,kiri, llaga 
844,kirkinchu / kachikampu, armadillo 
845,kiru, árbol 
846,kishparik, independencia 
847,kishpichina, perdonar 
848,kishpiripacha, liberalismo 
849,kishuar, quishuar 
850,kita, brioso 
851,kiti, cantón 
852,kiti apuk, jefe político 
853,kiti kamaklli, concejal 
854,kiti kapachik apuk, comisario nacional 
855,kitikapak, capital provincial 
856,kitilli, parroquia 
857,kitilli apuk, teniente político 
858,kucha, lago 
859,kuchaku, laguna 
860,kuchawpi, bicectriz 
861,kuchi, cerdo 
862,kuchulla, cerca 
863,kuchupatay, grado angular 
864,kuku pukchi, libra 
865,kukulli, paloma 
866,kulla, enero 
867,kulla killa, enero 
868,kullasuyu, región sur 
869,kullka, prisma 
870,kullka puncha, jueves 
871,kullkikamak wankuri, asociación bancaria 
872,kullkikamak wankuriy, asociación bancaria 
873,kullkikamak wasi, banco mutua copo corporación financiera 
874,kullkikamay, economía 
875,kullkikamay kamu, libro contable 
876,kullkikamay shinayachi, conmutabilidad bancaria 
877,kullkikamaychik, sistema contable 
878,kullkikikinchik, póliza 
879,kullkilli, billetes de denominacion baja pequeños 
880,kullkimantawankuri, organización económica 
881,kullkimashnayachik, presupuesto 
882,kullkiminkay kamu, libro banco 
883,kullkipatsakri, impuesto 
884,kullkirayku hatun tantanakuy, grandes bloques económico 
885,kullkirayku llankay, actividad económica 
886,kullkiyuk, capitalista 
887,kullku, tronco 
888,kulta, pato 
889,kumuriy, inclinarse 
890,kuna, dar 
891,kunakuy, ofrecer 
892,kunakyuyayku, refrán 
893,kunan, presente 
894,kunan pacha, tiempo presente 
895,kunan yallishka, participio 
896,kunana, consejo 
897,kunanyallishka, participio 
898,kunka, garganta cuello 
899,kunka tullu, nuca 
900,kunkaklla, olvidadiso 
901,kunkallina, bufanda 
902,kunkariy, olvidarse 
903,kunkashka, olvidado 
904,kunkay, olvidar 
905,kunkaycha, negligencia descuido 
906,kunkaychashka, descuidado negligente 
907,kunkaychay, descuidar 
908,kunkaychiy, omisión omitir 
909,kunkaylla, tranquilo en reposo 
910,kunkuri, rodilla 
911,kunkuriy, arrodillarse 
912,kuntisuyu, occidente 
913,kuntur, condor 
