id,Kichwa,Español,Etiqueta
151,Apyayalapi chawchuri rikurimanta, Racismo en América,negativo 
152,apyu, caballo,neutro 
153,Arawik, Poeta,positivo 
154,Arena, Thiyu / illul,neutro 
155,Arina, Estrenar,neutro 
156,Arinichina, Convencer,positivo 
157,Arinina, Acceder- consentir,positivo 
158,arininakuy, acuerdo- tratado,positivo 
159,Arininakuy, Acuerdos- Tratados,positivo 
160,Arma, ayñi,negativo 
161,Armana, Bañar,positivo 
162,Ashanka, Canasto,neutro 
163,Ashankayrumpa, Básquet,positivo 
164,Ashnana, Oler,neutro 
165,Ashtarina, Mobilizarse- transportarse- moverse,neutro 
166,Asichik, hazmereír,negativo 
167,Asichisiki, Chistoso,negativo 
168,Asina, Reír,positivo 
169,Asinayay, chistoso- que causa risa,positivo 
170,Asipayak, Burlón,negativo 
171,Aspi, Guión,positivo 
172,Aspina, rascar- subrayar-,neutro 
173,Atallpa, Gallina,neutro 
174,Atam, Parásito-,negativo 
175,Ataw, Jóvez.,negativo 
176,Atawchay, Fortuna,positivo 
177,Atawchayuk, Afortunado,positivo 
178,Atina, Vencer,positivo 
179,Atipay, Conquista,neutro 
180,Atiy, Poder,neutro 
181,Atsiyana, Estornudar,negativo 
182,Atuk, Lobo,positivo 
183,Atukamay, Industria,neutro 
184,Atukay, Industria,neutro 
185,Atukayashka pukuy, Producción industrial,neutro 
186,Atyak, Babosa,negativo 
187,Awaki, Lunes,neutro 
188,AWAKI puncha, Lunes,neutro 
189,Awana, Tejer,positivo 
190,Awayllamkay, Obraje,positivo 
191,Awika, Variedad,neutro 
192,Awka, Militar- soldado,neutro 
193,Awkakancha, Ejército,neutro 
194,Awkarik puncha, Martes,neutro 
195,Awkaruna, pagano,neutro 
196,Awkawasi, Cuartel,neutro 
197,Awki, Principe- noble,positivo 
198,Aya Uma, Personaje mitologico que lidera el inti raymi- materializacion de las energias de la Pacha Mama,neutro 
199,aycha, carne,positivo 
200,Aycha / ukku, Carne- cuerpo,neutro 
201,Ayllu, Familia,positivo 
202,Ayllu chariy, Poseer familia,positivo 
203,Ayllu shuti, Apellidos Antroponimio,neutro 
204,Ayllullanikipushak, Monarquía,negativo 
205,Ayllumallki, Arbol genealógico,positivo 
206,Ayllunikiyashka, Grados de afinidad,neutro 
207,Aymuray, Mayo,neutro 
208,AYMURAY killa, Mayo,neutro 
209,aynikuy, Participación,positivo  
210,Aynina, Convivir,positivo 
211,Ayninakuy, Participativa,neutro 
212,Ayriwa, Abril,neutro 
213,AYRIWA killa, Abril,neutro 
214,Aysana, Halar- cosechar,positivo 
215,aysana, Arrastrar,negativo 
216,Ayñi, arma,negativo 
217,Añaki, Bacteria,negativo 
218,Añanku, Hormiga,neutro 
219,Añas, Zorro,negativo 
220,Añaw, Virus,negativo 
221,Chachina, Masticar,neutro 
222,Chakana, Cruzar,neutro 
223,Chakariy- Mushukyay, Cruzamiento,neutro 
224,Chakata tullu, Clavícula,positivo 
225,Chakcha, Alabanza,neutro 
226,Chaki, Pie,neutro 
227,Chaki ruka, Dedo del pie,neutro 
228,Chaki sillu, Uña del dedo del pie,neutro 
229,Chaki uku, Planta del pie,neutro 
230,Chaki washa, Talon,neutro 
231,Chakichina, Secar,positivo 
232,Chakina, secar,positivo 
233,Chakishka, seco,positivo 
234,Chakishkapacha, Sequía,neutro 
235,Chakllamanyachi, Paralelogramo,neutro 
236,Chaklli, Quìmico,neutro 
237,Chakllisinchi, Química,neutro 
238,Chakra, Sementera,neutro 
239,Chakrakamay, Agricultura- agrícola,positivo 
240,Chakrakamay- Allpa llankay, Agricultura,positivo 
241,Chakrana, Cultivar,positivo 
242,Chakrawiwakamay, Agropecuaria,positivo 
243,Chakru, Mixto o combinado,neutro 
244,Chakruy, Composición,neutro 
245,Challay, Rito,neutro 
246,Challay- Wilkay- hawkay, Rito,neutro 
247,Challwa, Pez,positivo 
248,Challwa kapina, pescar,positivo 
249,Challwakamay, Pesca- pesquera- ictiología,positivo 
250,Chani, Valor,positivo 
251,Chani – kuska, Lugar turístico,positivo 
252,Chanichina, Valorar,positivo 
253,Chanikuna, Datos,neutro 
254,Chanina, Valorar,positivo 
255,Chaniyay, Valencia,neutro 
256,CHANIYUK, Caro- de valor en dinero,neutro 
257,Chanka, Pierna,neutro 
258,Chantasu, Llama,neutro 
259,Chapak, Policía,positivo 
260,Chapak kamaypaktachi, Intendencia de policía,neutro 
261,Chapak kamaypaktachi puhak, Comando provincia de policía,neutro 
262,Chapak kamaypaktachi puhask, Comando provincia de policía,neutro 
263,Chapana, Vigilar,positivo 
264,Chapuna, mezclar,neutro 
265,Chapuri, Composición,neutro  
266,Chapuriy, Combinación,neutro 
267,Charik, Rico,neutro 
268,Charikyana, Enriquecer- ganar dinero- acumularse,positivo 
269,Charina, Tener,positivo 
270,Charinayay, Tesoro,positivo 
271,Charirashka rumpa, Balón Sostenido,neutro 
272,Charirashka yasiy, Balón Sostenido,neutro 
273,Charishkata killkakamachiy, Registro de la propiedad,neutro 
274,Chashnalla, Solamente asi o de esa manera,neutro 
275,CHASKA puncha, Viernes,neutro 
276,Chaska rikuchik, Telescopio,positivo 
277,Chaskakancha, Constelación,neutro 
278,Chaskancha, Constelación,neutro 
279,CHASKI SHUYULLI, Sello postal / Timbre postaL,neutro 
280,Chaskichik, Recibo,neutro 
281,Chaskik, Relevo,positivo 
282,CHASKILLI, Buzón de correo / casillero de correo,neutro 
283,Chaskina, Recibir,positivo 
284,Chaskinancha, Codominio,positivo 
285,Chawa, Crudo,neutro 
286,Chawar, Cabuya- Penco,neutro 
287,Chawcha, Delicado- fecundo- rápido de madurar,neutro 
288,Chawchuy, Origen,positivo 
289,Chawpi, Medio-mitad,neutro 
290,Chawpi kawsaypacha makanakuy, Guerra medieval,negativo 
291,Chawpi pukcha, Medio quintal,neutro 
292,Chawpi puncha, Medio día,neutro 
293,Chawpi tuta, Media noche,neutro 
294,Chawpi wata, Medio año,neutro 
295,Chawpi yachay, Segundo Nivel de Educación Media,neutro 
296,Chawpihanika, Media fanega 120 lb,neutro 
297,Chawpikakuna, Medios,positivo 
298,Chawpikuska, Semirrecta,neutro 
299,Chawpikutirik, Media geométrica,neutro 
300,Chawpina / rakina, Partir,neutro 
301,Chawpipampa, Semiplano,neutro 
302,Chawpisuyu, Región central,neutro 
303,Chawpiyak, Media aritmética,positivo 
304,Chawpiyak chanikuna, Medidas de tendencia central,neutro 
305,Chawpiyamuk, Mediana,neutro 
306,Chawra, Combustible,positivo 
307,Chayana, Llegar,neutro 
308,Chayllatak, Sinónimo,neutro 
309,Chayman, Directo,neutro 
310,Chayniyak, Distancia,neutro 
311,Chaypikana, Asistir,positivo 
312,Chayra, Aun,neutro 
313,Chayrak, Todavia,neutro 
314,Chayrak ama, Todavia no,neutro 
315,Chayshinaya, Copia,neutro 
316,Chayshuk, Otro- otra siguiente,neutro 
317,Chayshuk kawsay, Otra vida,neutro 
318,Chaysinaya, Copia,neutro 
319,Chaytalla, solamente,neutro 
320,Chaytu, Fantasma,negativo 
321,Chichuna, Fecundar,positivo 
322,Chika, Tamaño/ verdad,positivo 
323,Chikan, Diferente/ raro/ estraño,neutro 
324,Chikanchik iñu, Punto aparte.,neutro 
325,Chikanchik iñu(W), Punto aparte,neutro 
326,Chikanrakikyuk pakiyupaykuna, Fracciones heterogéneas,neutro 
327,Chikanyana, Diferenciar,positivo 
328,Chikanyay, Diferente o distinto,neutro 
329,Chikchichak, coqueto/a,negativo 
330,Chikchichay, coquetear- coqueteo,neutro 
331,Chiknina, Odiar,negativo 
332,Chikta- shara, partido- resquebrajado,positivo 
333,Chiktana, Partir- rajar la madera,neutro 
334,Chilina, Naranja,neutro 
335,Chillay, Miércoles,neutro 
336,CHILLAY puncha, Miércoles,neutro 
337,Chillka, Chilca,neutro 
338,Chimay, Descubrir una adivinanza,neutro 
339,Chimiyana, Surgir- emerger- germinar,neutro 
340,Chimlasay, Bióxido de carbono,neutro 
341,Chimpamanyaypurachi, Seno,neutro 
342,Chimpamanyaypurachimuy, Cosecante,neutro 
343,Chimpamanyaypuramunchi, Cosecante,neutro 
344,Chimpamanyaypuranchi, Seno,neutro 
345,Chimpana, Cruzar,neutro 
346,Chimpanakuy, Antónimo,neutro 
347,Chimpapurachi, Relación,neutro 
348,Chimpapuranakuna, debatir,neutro 
349,Chimpapuranakuy, Debate,neutro 
350,Chimpapuraychiy, Comparación o relacionamiento,neutro 
351,Chimpaykuchukuna, Ángulo opuesto por el vértice,neutro  
352,Chinaku, Homosexual- gay,neutro 
353,Chinawakra, Hembra- femenino para animales,positivo 
354,Chinchaysuyu, Norte,neutro 
355,Chiniku, Minuto,neutro 
356,Chinilla, Segundo,neutro 
357,Chinkana, Perderse- desaparecer,negativo 
358,Chinkay, Perder,negativo 
359,Chinlli, Desayuno,positivo 
360,Chiri, Frío,neutro 
361,Chirikunuy, Clima,neutro 
362,Chirimuya, Chirimoya,positivo 
363,Chirina, Hacer frio,neutro 
364,Chiriwrku, paramo,positivo 
365,Chishi, Tarde,positivo 
366,Chita, Chivo- cabra,positivo 
367,Chiwila, Piña,positivo 
368,Chucha, Rapoza,positivo 
369,chuchi, pollo,positivo 
370,Chuchu, Seno,neutro 
371,chuhama- churipakchuri, Nieto,positivo 
372,Chukchina, recoger la sobra,negativo 
373,Chukchu unkuy, Paludismo,neutro 
374,Chukchuk, Tembloroso,negativo 
375,Chukchuna, temblar,negativo 
376,Chuki, Mineral,neutro 
377,Chukikamay, Minera- minería,positivo 
378,Chukillankay, Mitas,neutro 
379,Chukllu, Choclo,positivo 
380,chukri, herida,negativo 
381,Chukrichiy, Herir,neutro 
382,Chukrina, Lastimarse,negativo 
383,Chukrishka, Herido/a,negativo 
384,Chukriy, Herir,negativo 
385,Chukriyku, Ulcera,neutro 
386,Chuku, casco- celada,neutro 
387,Chukuri, Comadreja,negativo 
388,Chullachishka kutinkutinchikyuk puchu, Diferencia de exponentes impares,neutro 
389,Chullachishka yupay, Número impar,neutro 
390,Chullashka kimsamanyachi, Triángulo escaleno,neutro 
391,Chullayashka yupay, Número impar,neutro 
392,Chullpi, Chulpi,neutro 
393,Chumpi, Faja,positivo 
394,Chumpiku, Cinta,neutro 
395,CHUNKA, diez- 10,neutro 
396,CHUNKA SHUK, once- 11,neutro 
397,Chunkachik hillay, Material decimal,neutro 
398,Chunkachishka yupaychikakunata, Representación polinómica del,neutro 
399,Chunkakri, Décimo,neutro 
400,Chunkalli, Decimal,neutro 
401,Chunkana, Juego de azar,neutro 
402,Chunkayllichik, Sistema decimal,neutro 
403,Chuntapalashka, Embrujado,negativo 
404,Chupu, Tumor,negativo 
405,Churana, Ropa- ponerse la ropa- llevar puesto,positivo 
406,CHURANAKUNA, VESTIMENTA,positivo 
407,Churi, Hijo,neutro 
408,Churu, Caracol,neutro 
409,Chushak, Vacío,neutro 
410,Chushik, Lechuza,neutro 
411,CHUSKU, cuatro- 4,neutro 
412,CHUSKU CHUNKA, cuarenta- 40,neutro 
413,CHUSKU PATSAK, cuatrocientos- 400,neutro 
414,Chuskuchishka pampa, Plano bidimensional Cartesiano,neutro 
415,Chuskumanyachi, Cuadrilátero,neutro 
416,Chuspi, Mosca,neutro 
417,Chutana, halar,positivo 
418,Chutarik, Elasticidad,positivo 
419,Chutarina, Estirarse- ponerse en el suelo,negativo 
420,Chuya, Aguado,neutro 
421,Chuyaklla yaku, Agua potable,negativo 
422,Chuyakllachina, Potabilizar,neutro 
423,Chuyakllachiy, Potabilización,neutro 
424,Chuyayana, Asear,positivo 
425,Chuyayay, Desinfección,positivo 
426,Chuyayay(GT), Aseo,positivo 
427,Hachun, Nuera- cuñada,positivo 
428,Hallmana, Desyerbar,positivo 
429,Hampatu, Rana,neutro 
430,hampi, curación- medicina,positivo 
431,HAMPIK IKAY, Seguro Medico,positivo 
432,HAMPIKILLKALLI, Receta Medica,positivo
433,Hampina, Curar,positivo 
434,Hampiwasi, Centro de Salud- Hospital,positivo 
435,Hamuktana, Entender,positivo 
436,Hamutana, Comprender:,positivo 
437,Hamutay, Comprensión/ comprender,positivo 
438,Hanika, Fanega,neutro 
439,Hankana, Desequilibrar,negativo 
440,Hankay, Desequilibrio,negativo 
441,Hantsa, Páncreas,neutro 
442,Hapina, coger- agarrar,neutro 
443,Haplla, descomedido,negativo 
444,Harkana, Atrancar,negativo 
445,Harkana- Kinchana, Cercar,positivo 
446,Harkarina, Tolerancia,positivo 
447,Harkariy, Atascarse,negativo 
448,Harkashka shimiki, Sílabas trabadas.,negativo 
449,Hatarikuna, Manifestaciones,positivo 
450,Hatariy, Levantamiento,positivo 
451,Hatun, Grande,neutro 
452,Hatun apuktukushka, Señoríos,neutro 
453,Hatun hallmay, Aporque,neutro 
454,Hatun hatun runa, gigante,neutro 
455,Hatun ishpa / isma, Caca,negativo 
456,Hatun kahas, Macizo montaña grande,neutro 
457,Hatun kaksas, Macizo montaña grande,neutro 
458,Hatun mama, Abuela,positivo 
459,Hatun paktay, Objetivo general,positivo 
460,Hatun rikuchik, Indicador general,negativo 
461,Hatun wankurikuna, Organizaciones nacionales,neutro 
462,Hatun yachay, Tercer Nivel de Educación Superior,neutro 
463,Hatun yaya / hatun tayta, Abuelo,positivo 
464,Hatuna, Vender,positivo 
465,HATUNA PAMPA, Mercado,positivo 
466,HATUNA WASILLI, Kiosko- chiringuito,neutro 
467,Hatunkay, Grandeza,neutro 
468,Hatunkillka, Mayúscula,neutro 
469,Hatunkucha, Mar,positivo 
470,hatunyachanawasi, Universidad,neutro 
471,Hawa, Arriba,neutro 
472,Hawachiy, alzar,neutro 
473,Hawahawalla, Superficialmente,positivo 
474,Hawakara, Epidermis,negativo 
475,Hawakarak, Epidermico- relativo a la epidermis,negativo 
476,Hawalla, Superficial,neutro 
477,Hawalla shimiki, Sílaba simple.,neutro 
478,Hawallallpa, Suelo,neutro 
479,Hawapacha, Espacio- cielo,positivo 
480,Hawaykawsay, Civilización,neutro 
481,Hawchashka, Ensalada,positivo 
482,Hayak, Amargo- hiel- bilis,negativo 
483,HAYAK MUYU, Pimienta,negativo 
484,HAYTAYPUKLLAY, Futbol,positivo 
485,Hayñi, Derecho,positivo 
486,Hikama, Jícama,neutro 
487,Hillay, Implemento,neutro 
488,Hillaykuna, Instrumentos,positivo 
489,Hillaysapa, Aparato,neutro 
490,HILLI, Sopa,positivo 
491,Hita, pozo,neutro 
492,Hondonada, Pukru,neutro 
493,Huchu kiru, Muela,neutro 
494,Huku ukuyayllika, Secreccion endogeno,negativo 
495,Hukukanllayay, Secrecion exogeno,negativo 
496,Hukurillawsallika, Sistema excretor,negativo 
497,Humpi, Sudor,negativo 
498,Humpina, Sudar,negativo 
499,Hunina, Conjugar,positivo 
500,Hunkay, Semana,neutro 
501,Hunkay / kanchisri, Semana,neutro 
502,Hunta, lleno,neutro 
503,HUNU, millón- 1000000,neutro 
504,Hutkunantak, Taladro,neutro 
505,Huña, Moco,negativo 
506,Ichanik, Duda,negativo 
507,Ichanik yuyal, Oración dubitativa.,neutro 
508,Ichanik yuyay, Oración dubitativa,neutro 
509,ILLAK, cero- 0,neutro 
510,Illana- mana tiyana, No haber- ausentar,negativo 
511,Illapa, Arma de fuego escopeta,negativo 
512,Illay, faltar,negativo 
513,Ima rikunchikuna, Causa,neutro 
514,Imachik, Verbo,positivo 
515,Imachik yuyayki, Frase verbal,positivo 
516,IMACHIKKUNA, VERBOS,positivo 
517,Imak, Sujeto,positivo 
518,Imakak, Característica,neutro 
519,Imakay, Concepto.,neutro 
520,Imakay (W), Concepto,neutro 
521,Imakay sapsikuna, Características generales,neutro 
522,Imakaychina, Conceptualizar,neutro 
523,Imakaychinamanta, Conceptualización,neutro 
524,Imallichik, Adverbio,neutro 
525,Imamantachiy, Justificación,neutro 
526,Imanik, Predicado,neutro 
527,Imapash, Cualquier cosa,neutro 
528,Imarayku, Causas,neutro 
529,Imaruran, Consecuencias,negativo 
530,Imaruray, Función,positivo 
531,Imashinakan, Formas,positivo 
532,Imatukuna, Acontecer.,neutro 
533,Imatukuna (W), Acontecer,neutro 
534,Imatukuy, Acontecimiento- suceder,neutro 
535,Imayay, Materia,neutro 
536,Imaykuna, Elementos,neutro 
537,Imilla, Adolescente hombre-,positivo 
538,Inchi, Maní,neutro 
539,Inti, Sol- intipuncha Domingo,positivo 
540,Inti llika, Sistema Solar,positivo 
541,INTI puncha, Domingo,neutro 
542,Inti suyu, Este,neutro 
543,Intikinrayllipyay, Solsticios,neutro 
544,Intillayayllipyay, Equinoccio,neutro 
545,Intillika, Sistema solar,neutro 
546,Intiraymi, Fiesta de Sol,neutro 
547,Intishayakllipyay, Equinoccio,neutro 
548,Intiwayllashka, Fotosíntesis,positivo 
549,Ishkantinpurachi, Sobreyectiva,neutro 
550,ISHKAY, dos- 2,neutro 
551,ISHKAY CHUNKA, veinte- 20,neutro 
552,ISHKAY PATSAK, docientos- 200,neutro 
553,Ishkaychishka kutinkutinchikyuk yapa, Suma de potencias con exponente par,neutro 
554,Ishkaychishka yupay, Número par,neutro 
555,Ishkaykillkanancha kutinchiy, Factorización de binomios,neutro 
556,Ishkaymanpurachi, Biyectiva,neutro 
557,Ishkayniki kallari yachay, Segundo Nivel,neutro 
558,Ishkaynikichishka iñu, Par ordenado,neutro 
559,Ishkaynipa yuyal, Oración bimembre.,neutro 
560,Ishkaynipa yuyay, Oración bimembre,neutro 
561,Ishkaypakta kimsamanyaychi, Triángulo isósceles,neutro
562,Ishpa phuru, Vejiga,neutro 
563,ISKUN, nueve- 9,neutro 
564,ISKUN CHUNKA, noventa- 90,neutro 
565,ISKUN PATSAK, novecientos- 900,neutro 
566,Ismuwanu, Compost,neutro 
567,Isru, Aro,positivo 
568,Iwila, Shampoo natural Planta,positivo 
569,Iñina, Creer,positivo 
570,Iñiy, Creencia- creer,positivo 
571,Iñu uchilla suyukuna, Puntos colaterales,neutro 
572,Iñuku, Átomo,neutro 
573,Iñuwa, Molécula,neutro 
574,Kachachik, Imperativo,neutro 
575,Kachachik yuyay, Oración imperativa,neutro 
576,Kachamuna, Mandar- enviar,positivo 
577,Kacharishka, Libre,positivo 
578,Kachi, Sal,positivo 
579,Kachipurawa, Borraja,neutro 
580,Kahaskancha, Cordillera,neutro 
581,Kahasmuku, Nudos de cordillera,neutro 
582,Kakatsu, Lagaña,negativo 
583,Kakchiy, Definición,neutro 
584,Kakrikuchina, Describir.,positivo 
585,kakrikuchina (W), Describir,positivo 
586,Kaksaskancha, Cordillera,neutro 
587,Kaksaskuna, Accidentes geográficos,neutro 
588,Kaksasmuku, Nudos de cordillera,neutro 
589,Kaksasuyu pampa, Area Andina,neutro 
590,Kaktarikuchik, Físico Estructura,neutro 
591,Kakunamaki, desafío,positivo 
592,kakwillay, Certificado,positivo 
593,Kakwillay- illu, Certificado.,positivo 
594,Kalak, Débil,negativo 
595,kalak, Débil,negativo 
596,Kallampa, Hongo,neutro 
597,Kallanpa, Hongo,neutro 
598,Kallari yachay, Primer Nivel de Educación Básica,neutro 
599,Kallari yuyay, Introducción,neutro 
600,Kallarillaktayku, Primeros pobladores,neutro 
601,Kallarinancha, Dominio,negativo 
602,Kallariy, Presentación- inicio,positivo 
603,Kallariy yachay, Educación Básica.,neutro 
604,Kallariyuyay, Presentación,positivo 
605,Kallpa, Vigor,positivo 
606,Kallpana, Correr,positivo 
607,Kallpanakuy, Atletismo,positivo 
608,Kallpay, Correr,positivo 
609,Kalluwatariy, Trabalengua,negativo 
610,kamachashka, protegido,positivo 
611,kamachay, Proteger,positivo 
612,Kamachik, Legislador- Consejero,positivo 
613,Kamachik atiy, Poder Legislativo,neutro 
614,Kamachik wasi, Corte superior de justicia,neutro 
615,Kamachikamay, Administración,neutro 
616,Kamachikkuna, Leyes,neutro 
617,Kamachina, Consejo- exhoracion,neutro 
618,Kamachipuk, Legislativo,neutro 
619,Kamachipuk Tay, Poder Legislativo,neutro 
620,Kamachipuy, Legislar,neutro 
621,Kamachiy, aconsejar,positivo 
622,Kamakay, Higiene,positivo 
623,Kamana, Cuidar/ abundancia,positivo 
624,Kamanayay, Precaución,positivo 
